src,VPC_Candidate,Prediction
"I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects. When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support. Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.",caught up,positive
"I was working a lot, toured throughout the entire country three times, and put on between 120-130 concerts per year.",put on,positive
"I won't get dressed up, Sundays are for loungewear, half-cropped tracksuit bottoms and a white T-shirt.",dressed up,positive
I work out alone in my bedroom without a spotter or even a weight rack.,work out,positive
"I'm not going to rule out that there are vast swaths of people who don't practice critical thinking, but either way, proving it wrong is no guarantee that it will wither.",rule out,positive
"I'm not thinking about it at all. We will probably will not end up in government. Nobody wants to cooperate with us, even though I do not know what I've done that's so terrible.",end up,positive
"I'm sorry, what? My friend recommended the mask of this line so I bought that, this conditioner, and the all in one milk. I cannot speak for the effectiveness of the product because the smell was just not tolerable. You know that musty smell old buildings use in female restrooms to try to mask the smell of *ladies* but it just turns out as this sour, chemical, kind of musty grandma smell? Ya that's all I can think of when I smell this. You know different strokes different folks so maybe you'll like the smell. My friend said it can help even the most damaged hair, so if you don't care about scent then no worries. I know natural products aren't going to smell as pretty as some synthetic ones but I feel like more and more natural lines just care less since it will sell anyway and so now everything just smells like playdough. I've lost a few favorite lines to them changing the formula to cheaper ingredients. I don't know if that's the case here or if this is a fake (which I called Davines and they said it isn't) but this smells like Y U C K and I had to return it.",turns out,positive
"Ian Green, chief executive of the Terrence Higgins Trust, said: 'The priority must now be to make sure that the trial is rolled out speedily across the country, and that no-one at risk of HIV is left behind.",rolled out,positive
"If I only bathe once a week (but shower every 2 days or so) and the heater has enough water for quick showers, is it worth turning up the heat for the once a week bath?",turning up,positive
"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.",figure out,positive
"If a dry plate is used, first wash the preservative off in running water.",wash off,positive
"If an auction goes above your budget and you miss out, don't worry as there will be another home out there.",miss out,positive
"If elections take place and a legitimate government is finally chosen (and right now, none of the parties enjoy that status), then it will be possible to bring up the issue of lifting the arms embargo in the UN Security Council.",bring up,positive
"If for any reason you are dissatisfied or unhappy with our products or service, do first reach out to us and give us an opportunity to set things right.",reach out,positive
"If poverty incidence is lower than 2% and 3%, 2% of them are exited by mistake or missing in listing, 90% recognized by the mass, can a poverty-stricken county exist from the list of poverty-stricken counties. However, any one of the four indexes can vote down.",vote down,positive
"If such education failed, then no matter how successful your career is, you cannot make up for the shortcomings of life and family failure.",make up,positive
"If that's not enough for the 18-year-old from Hungary, who in January 2016 was still number one in the junior world rankings, someone from the coaching staff around Marius Zay will fill out the squad.",fill out,positive
"If the Americans, four points down starting the 12 singles matches, get off to a hot start, Mickelson's match could prove absolutely crucial.",get off,positive
"If the team continues to impress the crypto community with their innovation and transparency and can shake off the fear spread among investors by the CoinMarketCap errors, there is a good chance EverGrow Coin could be one of the top cryptos to invest in for 2022.",shake off,positive
"If things don't work out with the presidential election, Donald Trump already has a plan B in place.",work out,positive
"If this is not working, please now, sign out and sign in back from your ereader",sign out,positive
"If we recall the numerous reports about the host not being able to find common ground with the recently arrived producer, who set out to reformat “Let Them Talk”, it becomes clear what he was dropping such strong hints about, KP writes.",set out,positive
"If you always need to eat more because of working out, consider not cutting so many calories in the first place.",working out,positive
"If you have a slipped disk, for example, you might find it hard to lie down, wake up every couple of hours, and start to grumble about everyday problems and worries, suggests Weeß as an example.",wake up,positive
"If you suffer from these issues, you're in good company: According to the Robert Koch Institute, around a quarter of adults suffer from sleep disorders, and more than ten percent find that they often or always wake up not feeling refreshed.",wake up,positive
If you want to upsize your hat collection or completely block out the sun then look no further.,block out,positive
"If you want your child to be a future pianist, you should try this product out!",try out,positive
"If your internet service provider set up your Wi-Fi, change the password to one with at least 10 to 15 characters (numbers and letters) and change the password often.",set up,positive
"Imagine this, you have stayed up all night to watch the a packed Bellator 206 only to be denied watching the main event.",stayed up,positive
Immanuel Christian School: Sixth-grade boys accused of pinning down black girl and cutting off her dreadlocks in Virginia,pinning down,positive
"In 2003, he took over his parents' business and he manages this without chemical crop protection and fertilisers, even if it's not an organic farm that he's running.",took over,positive
"In 2008, most malware programmes were still focused on sending out adverts.",sending out,positive
"In 2015, the Clintons made $1 million in charitable contributions, mostly to the Clinton Foundation; former President Bill Clinton brought in nearly $5.3 million in speaking fees; and the former secretary of state reported income of $3 million from publisher Simon & Schuster for her book on her tenure at the State Department.",brought in,positive
"In 2018 after he held up the placard calling for Xi's resignation, he wrote online of how police stormed into his home, ordering him to write a confession letter and a statement promising he would stop.",held up,positive
"In April, Assange was dragged out of the embassy after being handed over to the British authorities by Ecuador.",handed over,positive
"In April, Chris Woodroofe, chief operating officer at Gatwick, told BBC's Panorama: ""It was clear that the drone operators had a link into what was going on at the airport.""",going on,positive
"In Barnaul, the new asphalt on Krasnoarmeyskiy Prospekt is being dug up",dug up,positive
"In February of this year, the medical institution became a participant in a pilot project to set up short-term inpatient care facilities.",set up,positive
"In Germany, where workers and bosses run many companies jointly, a big strike is unusual. A wave of big strikes is almost unheard of. Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day. This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.",top off,positive
"In June, Gilead was freed from paying up $200 million in damages for infringing two Merck patents related to Gilead's blockbuster drugs Sovaldi and Harvoni, after a U.S. judge found a pattern of misconduct by Merck including lying under oath and other unethical practices.",paying up,positive
"In Moscow, everything is always booked up so far in advance, and they aren’t issuing tickets on-site (there is a button, but it can’t issue a ticket).",booked up,positive
"In November, the brand shared photos for its ""The Gift"" collection, which featured child models posing with teddy bears that were dressed in bondage attire. Shortly after, Balenciaga dropped photos for its spring 2023 campaign that featured a page from a 2008 Supreme Court case involving ""virtual child pornography"" in the background. Parents, including reality TV star and longtime Balenciaga fan - and brand partner - Kim Kardashian, spoke out against the brand and its ""disturbing images"" on social media. Days later, Balenciaga released a statement apologizing for the photos and outlining the changes it would implement to avoid similar ""mistakes"" in the future. ""This experience has forced me to reevaluate a lot of things in the way I, we, work, in the way we create and communicate images, the way we interact with our audiences, and the way we learn from our mistakes and move forward,"" Demna told Vogue.",spoke out,positive
"In Oslo, citizens from Asia, including Turkey, made up the largest immigrant group, with over 62,985 of these nationals living in the city, according to figures from the national data agency Statistics Norway (SSB).",made up,positive
"In a blog post, Adblock spokesperson Ben Williams wrote that ""this sort of back-and-forth battle between the open source ad-blocking community and circumventers has been going on since ad blocking was invented,"" and that it is possible Facebook would come up with its own fix soon.",going on,positive
In a meeting with President Putin shown on state television both men claimed that the chief of staff was stepping down at his own request.,stepping down,positive
"In a nutshell, players on smartphones go out looking for Pokémons, which are tracked with a GPS and, once found, can be 'photographed' (via a screenshot on your phone) or 'captured'.",go out,positive
"In accordance with General Secretary Xi Jinping’s request, Shanghai is speeding up its march toward becoming a science and technology innovation center with global influence.",speeding up,positive
"In addition to a fixed abode, internships, apprenticeships, school places, ""one-euro"" traineeship jobs and temporary jobs need to be found or set up for refugees and migrants.",set up,positive
"In addition to the ownership of Mladá Fronta, Savov was part of the Harvestor Limited firm, based in Cyprus, which controlled the Samson brewery in České Budějovice, and the Cypriot company Maraflex, which is profiled as an investment fund and buys up failing businesses.",buys up,positive
"In addition to the snap surveys and polls of specific teams, it offers a heat map of the company showing at a glance which units have the most complaints and which managers have low approval scores - allowing her to drill down on why.",drill down,positive
"In addition, China and France are also committed to carrying out cooperation in space exploration, and said that they would embark on a series of cooperation in the areas of near-earth orbit, unmanned and manned probes on the Moon and Mars.",carrying out,positive
"In addition, perfume retailer the Fragrance Shop will be testing out concessions in two Sainsbury's stores, the first of which opened in Croydon, south London, last week while a second opens in Selly Oak, Birmingham, later this year.",testing out,positive
"In addition, the fenced-off area is not allowed to be farmable with a tractor (gradient of over 35 per cent) and must therefore be threatened with afforestation.",fenced off,positive
"In addition, the report also pointed out that in the case of economic development and inflation of Tajikistan in 2016, there are certain differences between the government and some major international financial institutions in the aspect of prediction.",pointed out,positive
"In an ideal world, a series of blows landing on Johnson - who is also under fire over his rhetoric in the debate over Brexit - would bring the match closer to an end. Europe should still try to extract maximum concessions from the UK, given it has no choice but to negotiate with the current government while trying to preserve unity among the rest of its 27 member states - which is going to get harder the longer this drags on. If there's a window to try yet again to put a deal before the UK parliament, the EU should grab it.",drags on,positive
"In an instant, it was as if the words “new retail” took on magical properties, and became the new catchphrase of industry insiders.",took on,positive
"In an interview with Kommersant, Oleg Ostapenko, who headed up the Federal Space Agency at that time, said frankly that the situation at Vostochny “was already critical in October 2013”.",headed up,positive
"In an interview yesterday, Shenhua head coach Gustav Poyet expressed: “The preparation in Okinawa is very important. I hope everyone in the team can show up.”",show up,positive
"In connection with the reports on the cases of abuse, Pope brother Georg Ratzinger cropped up a lot.",cropped up,positive
"In contrast to Bjorn, opposite number Jim Furyk will be looking for his players to perform better individually than they did as partners, the exceptions being Jordan Spieth and Justin Thomas, who picked up three points out of four.",picked up,positive
"In desperation, she leaped over him, turned around, and cut him down.",cut down,positive
"In determining whether Tennessee's waiting period violates the U.S. Constitution, U.S. District Judge Bernard Freidman must determine whether it places an undue burden on women seeking abortion. It's a subjective standard that has caused some waiting period laws to be struck down and others upheld, depending on the specific circumstances of the state.",struck down,positive
"In e-sport, computer games like ""League Of Legends"", ""Dota 2"", ""Counterstrike"" or even the football simulator FIFA are battled out on a competitive level.",battled out,positive
"In fact, apples make up 90 percent of the total harvest from fruits that grow on trees in Germany.",make up,positive
"In fact, it could speed up its demise.",speed up,positive
"In front of parliament in Skopje, Vladimir Kavardarkov, 54, was preparing a small stage and pulling up chairs in front of tents set up by those who will boycott the referendum.",pulling up,positive
"In his statement, Simsek stated that inflation in Turkey should come down to single digits and that food inflation constituted a ""risk area"".",come down,positive
"In less than a year, it was only possible to build a single massive reinforced concrete bunker and the underground spaces cut off.",cut off,positive
"In minutes of the rates decision, the Bank said: ""In the MPC's central forecast, gross domestic product (GDP) remains sluggish in the near-term as the squeeze on households' real incomes continues to weigh on consumption.""",weigh on,positive
"In order to evade the criticism caused by unconstitutionality, Japan tried to cover up and sophistry to put the attack aircraft carrier under “defensive” weapons.",cover up,positive
"In order to meet the needs of tourism development, it set up a tourist police team in July 2014, responsible for patrol in the major scenic spots, thus helping and diverting the tourists.",set up,positive
"In order to prevent an accident, the tower was pulled down.",pulled down,positive
"In order to speed up the process of transforming of scientific research from paper to money, Shanghai promulgated local regulations this year to promote the transformation and service of scientific and technological achievements.",speed up,positive
"In other words, it will do no good for anyone to carry on with those meaningless polarizations and vendettas of the past that caused our democracy to stumble.",carry on,positive
"In other words, we need to crack down on environmental violations through legal means and severely punish the enterprises' over standard discharge behaviors, so as to protect the environment and public health.",crack down,positive
"In our day-to-day lives, we're constantly looking for ways to increase our energy and avoid burnout, especially in our jobs. This can be extremely difficult for those in the healthcare industry, which is why I asked 30 health and wellness professionals the same question: ""How do you manage your energy and not burn out in your profession?"" Their careers range from infectious disease doctors to psychologists to mindfulness teachers - and they all had great advice to give on how to stay motivated and keep the ball rolling. Despite the large differences in their roles, there were several themes within their responses that stood out as ways to prevent burnout.",burn out,positive
"In practice, the opposite turned out to be the case, however.",turned out,positive
"In recent months, Musk had frequently used those more than 500,000 pre-orders to talk up the new car, for which distribution is just starting.",talk up,positive
"In recent years, our city has encouraged enterprises to actively participate in the construction of national or industry standards as well as regional group standards. An award of RMB300,000 will be given to enterprises that are principals or that participate in formulating standards for the Made in Zhejiang team, and RMB500,000 awarded to enterprises that have passed the Made in Zhejiang brand certification. This is the most generous award given out in the Province, and has incentivized enterprises to benchmark themselves against the standards.",given out,positive
"In respect of conduct, upon investigation, found to be in violation of Security Council resolutions, China will mete out severe punishment in accordance with laws and regulations.",mete out,positive
"In some cases, data from 1921 was found, ""from people who have long been dead, or from citizens who became German nationals and actually should no longer be showing up in the register.""",showing up,positive
"In such case, even if we support 107,000, I think we could see some easing down to the 106,000–105,500 region.",easing down,positive
"In that, he pointed this out, ""that in the preschool corporal punishment is still practised.""",pointed out,positive
"In the Netherlands and in France, the top division football clubs are now committed to setting up an e-sport department, according to Dutt.",setting up,positive
"In the Shakespeare anniversary year, the Salzburger Festspiele is putting on ""West Side Story"" with Tony and Maria as tragic couple just like Romeo and Juliet.",putting on,positive
"In the announcement made by the yellow and red team, it was stated that an agreement was made with Can as both player and sports manager for the season of 2016-2017 and said, ""We sincerely wish Can Ayvazoğlu, who took on all duties in Galatasaray in addition to his career as a sportsman, success in his new position.""",took on,positive
"In the daytime heat, with temperatures above 90 degrees in the Susanville area, smoldering patches were at risk of flaring up.",flaring up,positive
"In the era of sharing, the Tourism Full Media Center of the Zhejiang Daily Press Group teamed up with the hottest shared umbrella company to customize a number of shared umbrellas in “Poetic Zhejiang” style, hoping to promote the concept of “Sharing and Green”, spread the awareness of civilized tourism and public morality among tourists and residents, and create a shared, beautiful tourist environment.",teamed up,positive
"In the evening of the 11th day of the month, just in front of this new TV set, the Zhang Donghong couple and their dozens of relatives and friends have witnessed the magic process for the couple's daughter to catch up and reverse from almost being eliminated in the preliminaries to almost winning.",catch up,positive
"In the final series, Rachel's onscreen husband Mike Ross, played by Patrick J Adams, paid a visit from Seattle and was asked how Rachel was getting on.",getting on,positive
"In the future, Chinese enterprises hope to carry out even more extensive cooperation with Israel in terms of railway, light rail, ports, aviation and other construction projects.",carry out,positive
"In the future, if hackers switch off an entire production line in a factory instead of someone's heating, ransomware could also be a issue in Industry 4.0.",switch off,positive
"In the images shown by the security cameras of the gas station, the culprit firstly enters the station and cases the joint, after that he entered the shop after putting on his mask and taking his gun from the car outside.",putting on,positive
"In the last two years, the planting acreage of Xiaoshan’s flowering trees and shrubs have expanded by 30,000 mu, with total area at 180,000 mu. At the same time, expansion is being actively carried out outside the region. Xiaoshan’s farmers have been setting up flowering tree and shrub bases totaling 80,000 mu across the country, an increase of 30,000 mu from that in 2008.",carried out,positive
"In the long term I'm sure it will get up to speed and be a good competitive competition, so that is critical.",get up,positive
"In the moments before his suicide, she wrote: ""You need to do it, Conrad"" and ""All you have to do is turn the generator on and you will be free and happy.""",turn on,positive
"In the night from Friday to Saturday, an unknown perpetrator deliberately knocked over a scooter parked in the Königsfelder Straße outside residence number 30, thus causing material damage of over 200 euros to the fairing of the vehicle.",knocked over,positive
"In the original lay-of-the-land sheet, in the area where today the borough of Au-Haidhausen is, one can make out not only the street name ""am Gasteig"" or the elevation ""Auf der Lüften"" – but can actually read in large letters ""mental asylum"".",make out,positive
"In the pop-up window that opens, enter the password for the account you used to authorize #PRS_ORG#.",pop up,positive
"In the present situation where actors taking on roles in several dramas simultaneously is popular, lead actors and actresses would be at different sets at the same time. This has meant that they would not be able to appear at the same set at the same time. As such, film crews have been forced to use doubles to ensure the film schedule.",taking on,positive
"In the rest of the cases, the investigations took on a protracted nature, and every fifth case was suspended in connection with failure to identify the accused party.",took on,positive
"In the statement it was said that ""As a result of the work carried out, two gold coins, one silver coin, twenty bronze coins, one golden bracelet, two bronze rings, one shattered glass bracelet, four stone objects, eight necklaces, one pink-white colored stone object, one picture frame, twenty-three stone objects of various diameters/sizes/colors, four sharp metal objects, six Arabic books – assumed to be Holy Koran – from some old period in various sizes with worn covers and pages and with some torn pages, one earthenware cover, ten broken stone objects of some old period in various diameters and sizes, and one bronze copper vessel – along with two suspects – were captured.""",carried out,positive
"In the video, the Congress has accused the BJP of ""Ripping up the constitution and demolishing democracy"" while the whole country is fighting the coronavirus.",Ripping up,positive
"In this way, the social network and blockers unleashed a kind of ‘arms race’, trying to one-up each other: the aggrieved party turned out to be the users, who missed interesting posts from their friends or saw advertisements where they weren't used to seeing them.",turned out,positive
"In this way, we can make up for all shortcomings.",make up,positive
"In total the French Army had an organic strength of about 2500 Renault UEs; as the number of vehicles produced became after September 1939 much higher, Modèle 31s, mostly completely worn out, were gradually phased out.",phased out,positive
"In total, Lower Saxony's own brand, which was most affected, has got off lightly from the diesel scandal: After the first seven months, there is a minus in the books for deliveries amounting to 0.9 percent of 3.37 million vehicles.",got off,positive
"Incoming college freshmen could end up paying $5,000 more for the same student loans their older siblings have if Congress doesn't stop interest rates from doubling.",end up,positive
"Indeed, new Public Health Scotland figures show the situation is actually getting worse: 1,910 people were delayed in hospital in November, up from 1,730 in April. One reason why ambulances cannot drop off patients promptly is that A&E departments are full because wards are full.",drop off,positive
"Indonesian Foreign Ministry spokesperson Arrmanatha Nasir shrugged off the group's allegations, telling journalists in Jakarta, ""In Indonesia, a democratic system still applies and there's free media so it's hard for the evidence of human rights cases to be covered up.""",shrugged off,positive
"Industry insiders aren't expecting the government to rewrite the terms, noting that there are already many players that won't risk taking on the complex and expensive project.",taking on,positive
"Inflation eased back to 2.6% last month from 2.9% in June, although the Bank said this was expected and will pick up once again over the coming months.",pick up,positive
"Instead of focusing on who we know or don't know, we have to be prepared to go into battle with these guys and grind out two crucial wins in the Challenge Cup.",grind out,positive
"Instead of toning things down for a general election audience, Mr. Trump has taken an even more caustic tone in recent days as his poll numbers have continued to tumble.",toning down,positive
"Instead, he noted, the U.S. is continuing sanctions aimed at keeping up pressure.",keeping up,positive
"Interestingly enough, the issue I had was that the inner band of the ring was actually turning my finger white and moist - kind of like the way a bandaid does after you leave it on for a long time.",leave on,positive
"International criticism of the kingdom's human rights record, including the gruesome murder last year of critic Jamal Khashoggi and a crackdown on female activists, could further put off foreign visitors, observers say.",put off,positive
Iran appeared tough and gave up very little.,gave up,positive
Iran's First Vice President Mohammad Mokhber said on Wednesday that the country is fully prepared to roll out coronavirus booster vaccinations.,roll out,positive
"Irregularly, Anton’s was pretty busy; it was bustling with activity and new faces that I’ve never seen before – Anton was regularly the only worker, so knowing that he must be pretty stressed. “Hey Barkeep, get me a coffee.” I purposely spoke in a lower tone to throw him off a bit, a small chuckle escaping me seeing his sigh of relief after turning quickly. “God, Lilith, don’t do that to me…” he softly let out, obviously tired. “You seem pretty busy…you need some help? Look’s like there's more than plenty of folks here.” I huffed out, I do not want to help with these drunks, but I feel bad making this guy work alone out here. “Could you? I’ll pay you after…” he uttered with the eyes of a puppy, aimed straight at me. Advanced War Tactics…",throw off,positive
Is it a danger to let migrants in at the southern border? I dunno.,let in,positive
Is it a danger to let migrants in at the southern border? I dunno. Let them rehabilitate the hollowed out and decaying cities across the country. Again. These people want to improve their lives.,let in,positive
Is it enough to keep de Grood locked up?,locked up,positive
Is the screen grayed out and you see a book cover?,grayed out,positive
"It added that the cow is the ""backbone of Indian culture and rural economy... because of its nourishing nature like [a] mother."" There were mixed reactions to the initial announcement as some posted videos of cows rejecting being hugged and charging off. Others wanted to clarify that the appeal was more for following one's own culture, as opposed to ""blindly"" following Western values.",charging off,positive
"It came to Kommersant’s attention that the technical director for the Vostochny Cosmodrome, Andrei Okhlopkov, has taken on a job at the Khrunichev State Space Research and Production Center (SSRPC).",taken on,positive
It came up to my waist.,came up,positive
It cannot be ruled out that Muslim separatists from the south of the country are behind the explosions.,ruled out,positive
It comes after the UK Supreme Court unanimously ruled that Prime Minister Boris Johnson acted unlawfully in shutting down parliament for five weeks.,shutting down,positive
It emerged in the intelligence inquisition that Sönmezateş played a key role in both the distorting of the targets and by allowing PKK terrorists to escape from their places before the F-16s took off.,took off,positive
"It has a slimmer design shape that fits better in the hands, there are no sharp corners to snag on and with the power cord as a permanent attachment, it's far less prone to damage than the original XB1 controller. The downsides are: 1) The vibration effect that is triggered in action gaming feels much weaker. 2) The controller's directional joystick and buttons wear out very quickly. We are very heavy handed and tend to wear out 2-3 controllers per year. So for us, making investments in controllers yearly means we have to be picky and prudent about what we purchase. The controller could do with more durable springs; after a couple months, buttons that are used the most stop responding and the right joystick loses it's centering, IE- makes map screens zoom in and characters walk forwards without even touching the controls.",wear out,positive
It has retreated from them since it nearly collapsed eight years ago and had to be bailed out.,bailed out,positive
"It has ten trained experts, who regularly carry out surveys, roost inspections and sometimes rescues.",carry out,positive
"It is 42 years, after all, since punk poet John Lydon of the Sex Pistols first noisily linked the Queen with the idea of a ""fascist regime""; and although the history of postwar Europe strongly suggests that there is no inevitable connection between royalty and reactionary politics, it can be argued that the 1970s punk movement at least tried to open up a conversation about monarchy and democracy, one which the UK has since failed to pursue.",open up,positive
"It is a righteous diatribe, months and years of fury spilling over, and she can't get it out without weeping.",get out,positive
It is changing back the truth of history that has been attempted to be white washed away.,washed away,positive
"It is designed so that the baffle simply sits loosely on the plug, so that it can be pushed up by any critter or the slightest wind.",pushed up,positive
It is for precisely this reason that it is so crucially important to have such occurrences thoroughly cleared up and passed over to public prosecutors in cases where crimes could have committed.,cleared up,positive
It is more reasonable to assume that the bombs were set off by opponents of the military junta currently ruling the country.,set off,positive
It is not clear how long prices will remain perked up for.,perked up,positive
It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm. I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,go out,positive
It is not uncommon that mistakes made by law enforcement officials are written off by them on gaps in the current legislation.,written off,positive
It is reported that the local fire brigade spent an hour and 45 minutes to put out the fire and residents of the nearby buildings were allowed to return in a few hours.,put out,positive
It is time to move up a level and learn from the master.,move up,positive
"It is understood that since the “636” voluntary service team was founded in early April this year, the 16 members have carried out a series of voluntary service activities including visiting needy retail customers, helping tobacco farmers care for tobacco leaves, and making donations to the Ya’an earthquake victims, and have become a team of committed voluntary service activists that convey positive energy from their hearts.",carried out,positive
"It is understood that the scene of the explosion has been sealed. The local public security, firefighting, medical and other departments are carrying out rescue operations at the scene at this time.",carrying out,positive
"It made major political judgments on the socialism with Chinese characteristics entering into a new era, pointed out new changes in major social conflicts and defined",pointed out,positive
"It may also undermine the rationale behind the current administration's corporate tax breaks, which were passed through Congress in 2017. The goal was to convince multinationals to bring back manufacturing jobs as money trickles down to the middle and poor classes. In practice, it seems, it led to extra bonuses for executives and the rest of the country largely missing out on the benefits a growing economy and record low unemployment. Well, someone needs to pay for all those private jet trips.",trickles down,positive
"It may be the case that they hunt down sleeping animals, or patrol on the ocean floor and look out for corpses that have sunk downwards from higher levels of water.",hunt down,positive
"It means it can take up to an hour to download a single TV episode and uploading files is ""incredibly slow.""",take up,positive
It not only poses new requirements for the development of China’s Internet but also provides new opportunities for China to carry out network cooperation with other countries throughout the world.,carry out,positive
It seems people just wanted to go out for a drink.,go out,positive
"It should be noted, however, Gotzel pointed out, that a filled-out survey is not at the same time an application for grant money.",pointed out,positive
It thereby grows out ever further into the sea and regularly breaks off.,grows out,positive
It took a while to warm up to Grady,warm up,positive
It turned out later that this hooligan had no connection whatsoever with the airborne forces.,turned out,positive
It turned out to be a 30-year-old unemployed Volga Region resident.,turned out,positive
"It turns out me and others documenting all her slow/bad work, falling asleep at the desk, annoying others, and smelling, has caused her to lose out on positions with all but one of the companies that often hires me, her, and others for contract work.",turns out,positive
It turns out that extensive repairs and improvements were carried out in vain.,turns out,positive
"It turns out that tenants are losing out, and so are small and medium businesses.",turns out,positive
It turns out that the First Channel website broadcasts the technical videostream of all events in real time.,turns out,positive
"It turns out that, at the beginning of its history, oceans, which contained 10% more water than is currently on Earth, formed on Venus.",turns out,positive
"It was a strange moment - the multi-millionaire normally puts on a pompous, self-assured performance, but this time he expressed something analogous to doubt, as correspondents report.",puts on,positive
It was actually the official controls themselves that exposed what was going on.,going on,positive
"It was expected to be carried on to the capital in an ambulance, Saeed said.",carried on,positive
It was one of Scholz's early visits after he was sworn in with his coalition Cabinet on Wednesday.,sworn in,positive
It was suggested that its incorporation be carried out and to put it up for sale.,carried out,positive
"It will be exciting to see how Neuling AfD carves things up, and whether a coalition can be formed with what's left at the end.",carves up,positive
It would appear that the state no longer intends to put up with such behaviour.,put up,positive
It would be extremely ill advised to venture out into the desert on foot with the threat of tropical rainfall.,venture out,positive
"It's a business model and opportunity that has the approval of venture capital investors, who have propped up both start-ups.",propped up,positive
"It's bacon and eggs for them, spinach and mushrooms for us; then if the weather's good, we kick the boys out.",kick out,positive
"It's been one year since a 20-year-old from Long Beach was fatally shot, but the victim's family isn't giving up hope that the shooter will be caught.",giving up,positive
"It's easy to listen to music by a computer or another way, but the beauty of vinyl is ..."" she drifts off into a lovestruck sigh.",drifts off,positive
"It's time to give those tall tomato plants a trim: remove the new shoots, cut off the top of the plant, and remove all the leaves up to the second-to-last cluster with fruit and blossoms with small young fruit – they won't have time to ripen.",cut off,positive
"It's weird doing weightlifting but also having no real clue what your one-rep-max is, cus that's one of the key ways people track their progress. I work out alone in my bedroom without a spotter or even a weight rack. Just me and a barbell with a bunch of weights. I bench press on my bed. If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me. Anyway, load is going up today. Still feels good.",work out,positive
It's wonderful to have layers get peeled off.,peeled off,positive
Italy has warned NGOs operating migrant rescue boats in the Mediterranean they will not be allowed to continue if they do not sign up to new rules governing their operations.,sign up,positive
Its banishment would be poetic justice for his Taliban-like destruction of so many of England's cultural and religious artefacts carried out by his fanatical Puritan followers.,carried out,positive
Its crew is suspected to taking on board dinghy loads of migrants delivered directly to them by people traffickers and allowing the smugglers to make off with the vessels to be used again.,taking on,positive
"It’s still not entirely ready, so we haven’t put it out anywhere yet.",put out,positive
"Ivory was too, in their own special way. When Ivory came out as nonbinary, it seemed like the world changed too. They were given the jobs that would make them spend time alone for most of the time, as a punishment for being different.",came out,positive
"I’ll keep posting my bakes to my lovely masto-peeps, as they gobble it up.",gobble up,positive
"I’ve only ever had one surgery where I needed general anesthesia. It was a “minor” neurosurgery giving my brain more room from a condition I was born with that became symptomatic after having kids (chiari malformation). The moment I woke up has stuck with me, so I relive it a bit when I watch medical shows particularly with a neurosurgeon 😂. Hospital playlist has been on my list for a long time, and I’m really enjoying it right now. #kdrama",woke up,positive
J.P. Morgan has been called a training school for CEOs as Dimon's deputies have gone on to lead vendors including First Data or European banks such as Barclays or Standard Chartered.,gone on,positive
JAL and other airlines have yet to come up with way of anticipating seat reservations by serial snorers and passengers who fully recline their seats during in-flight meals.,come up,positive
JAL was quick to point out that the new feature did not guarantee that passengers would be out of earshot of a screaming infant.,point out,positive
"JD’s first fresh food supermarket 7FRESH officially opened for business recently, and plans to set up more than 1,000 stores nationwide in three to five years.",set up,positive
"JURUPA VALLEY (CBSLA) - A wildland fire broke out on Saturday afternoon in Jurupa Valley, leading to a response of more than 200 firefighters.",broke out,positive
"Jami slipped the note to him when they passed each other on the path, just before the dog watch. She was on her way to the wall, he was coming off duty. He glanced behind him to watch her go, and to make sure they hadn't been seen. She did not look back. He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains. One block-printed word. He spent a long time staring at it, trying to stay calm:",pulled out,positive
"January 9 is just a month away from the PyeongChang Winter Olympics. As the Olympic torch relay moves north, warm-ups and intense preparations for the Games were carried out. South Korea was warming up for the Winter Olympics.",carried out,positive
Japan will not give up in the future and its work on Africa will not be terminated but gradually strengthened.,give up,positive
"Jay Cutler, Lance Briggs and Charles Tillman are all ruled out for Sunday’s game between the Bears and St. Louis Rams at the Edward Jones Dome.",ruled out,positive
Jerry has done a fabulous job setting this place up.,setting up,positive
"Joanne Leigh, a former banker with a passion for doing up property, downsized from a large home in Knightsbridge to an Earls Court apartment in 2014.",doing up,positive
John cut short her rambling and put down the phone.,put down,positive
"Johnson's regular bashing of his predecessor's ""backstop"" proposal to avoid a return to a hard border in Ireland and protect the EU single market hasn't led to any convincing alternatives. Officials say the proposals sent in by the UK on alternative arrangements aren't concrete enough to be considered operational in time for an October 31 exit.",sent in,positive
