src,VID_Candidate,Prediction
"There is still another away game coming up for our team: on August 11 at 7 p.m. in Moscow at the Eduard Streltsov “Torpedo” Stadium, the Novomoskovsk players will take on the favorites of the Center Group, FC Ararat, whose lineup includes, Roman Pavlyuchenko, Marat Izmailov, Igor Lebedenko, Aleksei Rebko.",come up,positive
These issues are not in our control so please keep this in mind.,keep in mind,positive
They already ran out of land.,run out of land,positive
"They cannot break up with their companion, or walk out.",break up,positive
They had gone to the mall.,go to the mall,positive
They kept in touch over the years.,keep in touch,positive
"They said to us: “You, it seems, are very brave people for coming to us on today of all days”.",come to [pron],positive
"They think you're sad and will be pleased because they got to you.""",get to [pron],positive
They will have gone to the mall.,go to the mall,positive
"This could be the result of their complexes or mine, because I think they’re used to being able to shit on me and I, in turn, am now even less willing to take their shit.",shit on [pron],positive
This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,make it,positive
"This is why the commune's homes need to be beefed up, as it is so neatly put.",beef up,positive
This latest protest comes just days after protesters took to the streets en masse to support suspended President Dilma Rousseff as the country's senate voted for her impeachment.,take to the street,positive
"This week the UN's humanitarian chief warned that Afghanistan's economic collapse was ""happening before our eyes"" and urged the international community to take action to stop ""the freefall"" before it leads to more deaths.",happen before [pron] eye,positive
"Those who set up a picnic in a public place or go for a bicycle ride in pedestrian areas will be forced to pay 100 euros, TASS reports, with reference to the Association of Tour Operators of Russia.",go for,positive
"Tired of not making it onto the team, Taimuraz decided to change sports nationality.",make it,positive
"To be on the safe side, drivers still get international permits, but it should be kept in mind that in countries that haven’t ratified the convention, for example, the United States, Spain, Mexico, and Indonesia, the authorities have the right to refuse both national permits and the IDP.",keep in mind,positive
"To beef up the ‘muscles’ of this crazy ‘Gelik’, the experts took advantage of the benefits offered by the 5.5-litre supercharged V8 engine.",beef up,positive
Today we're making some beautiful vintage Easter craft. Keep watching! I'm Brandy and this is Making it my own DIY. Welcome! The first project are going to be two Easter ornaments. I'm going to start off with two little ornaments here and you can use whatever you have on hand. I've got these little decor eggs from Dollar Tree.,make it,positive
Tomáš Rosický goes to ground.,go to ground,positive
Tough talk 'and then we fell in love',fall in love,positive
"Troops fired on a peaceful demonstration at the plaza on Oct. 2, 1968, killing as many as 300 people at a time when leftist student movements were taking root throughout Latin America.",take root,positive
Trump issued the executive order to build the wall shortly after coming to power.,come to power,positive
"Two adults came in to break up the attack, with one adult pulling the teens apart.",break up,positive
Unfortunately only had it a week and opened the one door and it cracked the top of the wood piece!,have it,positive
"Unlike traditional hypermarkets and supermarkets, Hema Supermarket is, in the eyes of many consumers, a popular Internet store that is fun and has good food. Some intermediaries have even come up with the concept of “He district housing” (housing within a 3km radius of a Hema Supermarket).",come up,positive
Various people smiled to themselves.,smile to [pron],positive
"Wandering the dark streets late at night wasn’t usually the best option, but honestly, it was better than staying in that stuffy apartment; hell most of the time you could hear the neighbors having sex more than you could hear your music. With a quick, breathy sigh, I returned my gaze to the walk ahead–I’ll probably make my way towards Al’s Pawnshop; just a place I find junk that looks interesting, as a pastime. Quick regret flushed over me as I heard footsteps close behind, maybe I'm overthinking it, but nobody hung around this place unless they wanted to get mugged, or beaten up. It was popular for its mafia and gang activities…",flush over [pron],positive
"Warren replied that it's time ""for women to go to Washington to fix our broken government, and that includes a woman at the top.""",go to washington,positive
"We both have sons, and we were bearing in mind that we are not just role models for girls but boys - and not just our sons, but generally in public too.",bear in mind,positive
We do not have a multinational investor with deep pockets backing us. We are two regular guys - one who had a great idea and another who jumped on the bandwagon with additional suggestions and ideas.,jump on the bandwagon,positive
We had been going to the mall.,go to the mall,positive
We have no credible evidence that they got it wrong.,get it,positive
We joined the Party since the first year we entered the college. We have a firm belief. A person shall have such an idea and keep such a firm faith which shall bedeeply rooted in his heart.,root in [pron] heart,positive
"We played it in 2005 when it was leaked that Bush had circumvented FISA, breaking federal law countless times by warrantlessly wiretapping Americans.",play it,positive
"We should not only change the hardware, but the software must also keep up.",keep up,positive
"We should take root among the masses and serve the people, we should come up with fine works and align with the central government from thought to soul. Eulogizing our socialist",take root,positive
"We sincerely regret that these statements were made, and that they were allowed to go to air.",go to air,positive
We want them to vet it with us.,vet with [pron],positive
We will have been going to the mall.,go to the mall,positive
"Welcome. Welcome, everyone. I'm just going to make sure that all of this is working. It just takes a minute. So I came on a bit early just to make sure, just washed my hands and getting ready to go. So I'm just finishing setting up. I think we're good. I'm going to make mistakes so I can feel it. It's one of those days. So I'll just wait until people get on and then we'll get started.",get on,positive
"Well, it still sounds better than Pink Floyd, so in Manic Miner, you collect all the items on the screen and head to the goal. And you gotta do it before you run out of air or hit something. Hit what exactly? Weeds! You can die from touching grass. It sounds like half my fanbase. And did you notice I died from touching a weed that was on a completely different platform? I just went through the platform and then hit the weed. That's good game design, man. And then there's this asshole over here who's gone.",run out of air,positive
"When 2017, which was just around the corner, was mentioned, Zhao Lei said, “After the tour ends next year, I want to go away and be alone to take stock for a while, and write more new works.”",take stock,positive
"When Amazon made it to the world’s top 10 list of retailers, it announced that it would venture into these two physical markets; this is worth pondering, both in terms of opportunity and motive.",make it,positive
"When Associated Press took stock of the 2017 “big winners” in corporate America, Amazon was first on the list.",take stock,positive
"When I try to get it into the port to charge it, however, it launches right back out.",get it,positive
"When Mr Putin came to power, he named Mr Ivanov as one of the five people he trusted most.",come to power,positive
"When he stopped making it onto our national team, the time had come to start thinking about changing nationality.",make it,positive
"When the conservative radio host Hugh Hewitt tried to help Mr. Trump soften the remark by reminding him that Mr. Obama wants to destroy ISIS, the Republican presidential nominee would not have it.",have it,positive
"While I loved the premise of this story, and at times Grady, he really got on my nerves.",get on [pron] nerve,positive
"While Ri reprised familiar North Korean complaints about Washington's resistance to a ""phased"" approach to denuclearization under which North Korea would be rewarded as it took gradual steps, his statement appeared significant in that it did not reject unilateral denuclearization out of hand as Pyongyang has done in the past.",reject out of hand,positive
"While World Vision's staff from Donggala have made it safely to Palu city, where employees are sheltering in tarpaulin shelters set up in the courtyard of their office, they passed scenes of devastation on the way, Mr. Doseba said.",make it,positive
"While many baseball legends take to the great stage over their last few games, Rodriguez had to sit on the sidelines.",sit on the sideline,positive
"While the rescue force patrols the city, we'll take care of watching over the museum in the box. It wouldn't be a good idea for the villains to try and steal the cabbonita with us waiting inside. We've run out of money! We'll have to steal that diamond and sell it! Otherwise, we'll have to do our experiments with solar pap. How are we going to get the bots inside? It's all taken care of.",run out of money,positive
"While we were working to achieve this, some issues came up among the Gulf nations.",come up,positive
"With 77,000 views and hundreds of comments, the video has received mixed reactions from viewers, with many saying it makes light of the ""horrors"" of the dairy industry.",make light,positive
"With its lens tool, Snapchat allows some 150 million daily users to alter reality and play with identity in ways that border on the absurd.",play with identity,positive
"Wolf Fandel: ""A shopping centre with a covered market doesn't match up for me.",match for [pron],positive
Wollstonecraft's only house for sale going under the hammer,go under the hammer,positive
Would you clamp down on that as prime minister?,clamp on [pron],positive
"Writing on Twitter, the drag queen said the day had been ""proper emotional,"" adding that five protesters had gained entry to the Tate and ""caused a disruption"" in parts of the building, but they did not affect the readings. She had previously told Pink News that the invite to the Tate for the event during LGBTQ+ history month had been ""an honour."" Her readings have previously been targeted by protesters. The Drag Queen had said that ""risk assessments"" had taken place beforehand - but added it was ""ridiculous"" that they were necessary. Aida tweeted: ""5 haters made it into the Tate. They caused a disruption. BUT not to Drag Story Hour UK ...They made a fuss elsewhere in the building, not where the show was!! SHOW 2 went swimmingly!!!"" Aida had been staging three storytelling sessions on Saturday at 11am, noon and 2pm. A spokesperson for the Tate said: ""We do not programme artists in order to promote particular points of view, nor to reconcile differing points of view."" Our galleries offer a broad programme and visitors have the freedom to choose which aspects of it they engage with.""",make it,positive
"Yet this National Theater of Greece production unleashes gale-force sound and fury. At its peak, the show hits like a blow to the solar plexus, taking your breath away - the impact is only slightly dulled by watching online.",take breath,positive
You are going to the mall.,go to the mall,positive
"You can make it at home, but the genuine pink gari ginger has unique spicy and delicious taste thanks to a secret recipe, which is used to make it from various types of vinegar and ginger.",make it,positive
"You don't like to play for pride,'' Washington coach Mike Shanahan said, ''but sometimes that's the card that's dealt, and that's where we're at right now.'",play for pride,positive
You have been going to the mall.,go to the mall,positive
You would be going to the mall.,go to the mall,positive
"Zammuto said the company’s technology buries the negative information a search engine, such as Google, may turn up.",turn up,positive
"Zhang Chun said, “I kept thinking of using one-fiftieth of other people’s budget to come up with an image effect that was completely identical to these other people’s. I drove our entire team up the wall.”",come up,positive
and I have never really come to terms with it.,come to term,positive
"none of them can be solved. At this stage, you have to stick to it and keep going.",stick to [pron],positive
"the confidence and strength of the people across the country in remaining true to our original aspiration, keeping our mission firmly in mind and struggling in an unswerving way.",keep in mind,positive
"to pay respect to the 1st National Congress of the CPC and the red boat on South Lake for announcing the firm political belief of the new generation of Party leadership. The move has greatly built up the inner strength of the numerous Party members and cadres in remaining true to our original aspiration, keeping our mission firmly in mind and",keep in mind,positive
"to promote great practice with great spirit, never forget their initial mission, keep their mission firmly in mind, and make unremitting efforts to achieve the tasks put forward by the 19th National Congress.",keep in mind,positive
"we came up during a golden age of media, with a collective consciousness around pop culture that no longer exists.",come up,positive
we parroted these references back and forth to one another with the assumption that most people would get it.,get it,positive
"‘This place is older than Sumer by a thousand years’, says Boyadzhiev, bearing in mind the generally accepted view that urban culture originated in Southern Mesopotamia, which is modern Iraq.",bear in mind,positive
"“Be thrifty for the people. Those whose duty are to be frugal must live frugally. A return to the current simple and down-to-earth meeting environment, we fully comprehend and welcome it.” GuangAn People’s Congress deputy Wang Cheng said that an efficient and practical meeting without formalism is what they want to see and in which they want to participate.",want in [pron],positive
"“Chinese caviar” not only made it to the first class cabin in Lufthansa, it also made an appearance at the Oscars’ dinner banquet, as well as the dinner banquet of the welcoming ceremony of the G20 Hangzhou Summit.",make it,positive
