src,LVC_Candidate,Prediction
"If you have any questions, please feel free to contact us through the eBay emailing system.",have question,positive
"If you have any questions, then kindly please contact us via the ‘Ask a question’ Tab which is located on the bottom of the listing page.",have question,positive
If you suspect you or anyone you may know might have these signs it's imperative to speak with your GP who will recommend you to a specialist if needs be.,have sign,positive
"If you’re already doing a 500 calorie cut, an extra piece of steak or even bread after a hard workout is not going to ruin your progress at all.",do cut,positive
"Imagining that those who aren't Catholic can't 'do good' leads to war, the pope says.",do good,positive
"In 2008, when the girl was only 13 years old, the family decided to move to Germany: there, the girl had a better chance of making it onto the national team.",have chance,positive
In 2012 car manufacturer Hyundai let 40 monkeys from the park loose on its New Generation i30 model for 10 hours to prove it had the strength for families with small children.,have strength,positive
"In 2017, e-commerce giant Amazon.com made frequent moves in the world. It not only successfully launched AI terminals but was also involved in the offline sector, opening a new chapter in new retail.",make move,positive
"In August 1996, nobody had any idea that the Communicator heralded the start of the smartphone era.",have idea,positive
"In Baloch's case, her parents initially insisted their son would be given no absolution.",give absolution,positive
"In China, by the way, the Fengguang 370 managed to take 11th place on the list of best-selling minivans according to June sales, even though, given its high ground clearance (175 mm) and protective, plastic lower-body moulding, it could also be classified as a crossover.",take place,positive
"In July, China's total import and export value fell by only 0.9% year on year. In particular, China's export value had a year-on-year rise of 2.9%.",have rise,positive
"In June, the government had compulsorily retired 15 commissioner-level officials of CBIC on charges of corruption, collecting and giving bribes, smuggling and even criminal conspiracy. Prior to that, the government had compulsorily retired 12 senior IRS officials from the Income Tax department over charges of corruption, sexual harassment, disproportionate assets under Rule 56 (J) of the Central Civil Services (Pension) Rules.",give bribe,positive
"In May 2017, Jinan issued regulations stating that undergraduates who make social security contributions consecutively for half a year will be entitled to be treated under the same residential property purchase policies as that of local residents with permanent residency.",make contribution,positive
"In Sinaloa, it was impossible to do journalism without touching the narco issue, said Bojorquez.",do journalism,positive
"In Washington's time, the era of affordable postage had an impact much like the Internet.",have impact,positive
"In a conversation with Izvestia, Sergey Tsyplyonkov, a member of the Human Rights Council and head of the non-governmental organization Greenpeace Russia, underscored that successfully tackling environmental issues will require society and business to make a commitment: legislative efforts on their own are not enough.",make commitment,positive
"In a duet with Evgenia Tetelbaum, Anastasia took eighth place.",take place,positive
"In a feature phone era, the basic functions of a mobile phone would be making a call, sending short text messages, and simple memos. The difference in the functions among mobile phones is quite small.",make call,positive
"In a statement issued on Saturday, CBN spokesman, Osita Nwasinobi, said at no time did the CBN governor made such statement during his presentation to the National Council of State at its meeting on Friday, February 10, 2023.",make statement,positive
"In a statement, Dunlap said 14 people had access WWL's Twitter account. He claimed he was not one of the people with access to the account.",have access,positive
"In a study on China’s mobile Internet payment’s globalization methods, iResearch Consulting’s “2017 China's Third-Party Mobile Payment Report” arrived at two methods: The first method would be by way of strategic investment, outward transfer of experience, taking an equity stake, and supporting the overseas local mobile payment enterprise;",take stake,positive
"In addition to the situation regarding the attempted coup in Turkey, the British vote to leave the EU had also had an impact, a spokeswoman said.",have impact,positive
"In addition, homegrown companies are to give showcases, with their apprenticeship places.",give showcase,positive
"In addition, players will have to do damage to their enemies.",do damage,positive
"In an interview on BBC Radio 5 Live Pienaar's Politics last night, the Justice Secretary, Chris Grayling, accused the Labour MP of political grandstanding and of failing to take a proper and dispassionate view of her job.",take view,positive
"In an interview with Deadline.com following the airing of Suits' finale in the US, Korsh was asked if there was any possibility of the former actress being asked to do even a small cameo.",do cameo,positive
"In an interview with WNCN radio station, the American woman said that she already had a similar experience: she brought home a cat weighing 10 kilograms and now he weighs just a little more than five.",have experience,positive
"In an interview, Information Secretary, Nick Mangwana, said the family has a right to designate the burial place of the former Zimbabwean leader, who died of cancer on September 6th in Singapore.",have right,positive
"In answer to the question about Taiwan’s recently released defense-related reports, An Fengshan made the above response.",make response,positive
"In fact, they were the last to know, intentionally, because I just didn’t want them to try to take control and bully me into things like I used to let them.",take control,positive
"In general, this seaweed is considered to have miraculous powers.",have power,positive
"In his statement to journalists, the junta leader, Prayut Çan-oça, said that he does not want to make a comment about who is behind the explosions.",make comment,positive
"In order to fill the short board, on the one hand, the relevant departments shall take full account of the layout of the stadium at urban planning.",take account,positive
"In order to keep costs to a minimum for organisers, the requirements in matters of training courts etc. are being simplified and the players will not have to give so many official media appointments ahead of the Davis Cup.",give appointment,positive
"In order to receive a free ticket for the event (unless you were willing to pay for a VIP ticket), concertgoers had to complete a series of tasks, or actions such volunteering, emailing a world leader, making a phone call or any other meaningful ways to help raise awareness of their goal of ending poverty.",make call,positive
"In other words, it will do no good for anyone to carry on with those meaningless polarizations and vendettas of the past that caused our democracy to stumble.",do good,positive
"In our day-to-day lives, we're constantly looking for ways to increase our energy and avoid burnout, especially in our jobs. This can be extremely difficult for those in the healthcare industry, which is why I asked 30 health and wellness professionals the same question: How do you manage your energy and not burn out in your profession? Their careers range from infectious disease doctors to psychologists to mindfulness teachers - and they all had great advice to give on how to stay motivated and keep the ball rolling. Despite the large differences in their roles, there were several themes within their responses that stood out as ways to prevent burnout.",have advice,positive
"In particular with regards to Saudi Arabia, both countries are paying special attention to not make any negative public statements.",pay attention,positive
"In particular, a strong showing will be made by the Dongfeng Motor Corporation, which has big plans for the Russian market and intends to offer our car enthusiasts a number of interesting new models in the near future.",have plan,positive
"In recent days, the Ministry of Housing and Urban-Rural Development, together with the People's Bank of China and the China Banking Regulatory Commission, have jointly made arrangement for regulating the home financing, in a bid to intensify the anti-money laundry effort in real estate industry.",make arrangement,positive
"In response to the government's silence, JDC exec has today made a formal request for a special meeting of BMA Council to authorise a rolling programme of escalated industrial action beginning in early September.",make request,positive
"In some cases, they make themselves the news, such as when CBS News reporter Weijia Jiang responded to an ask China retort from Trump by making a not-so-subtle hint at racism: Sir, why are you saying that to me specifically?",make hint,positive
"In span of one year, we have acquired a powerful group of experts in the area of environmental issues, uncovered loopholes in legislation, and put an end to dozens of legal violations.",put end,positive
"In the 1st half, the Kalugans were more active and had the advantage in terms of possession of the ball.",have advantage,positive
"In the 2011 elections, the SPD had a clear victory over the CDU (35.6 percent versus 22 percent).",have victory,positive
"In the Google App Store, we can see that the average score of UC browser is as high as 4.5 points, the number of appraisers is more than 16 million, and up to 11 million of appraisers give a mark of 5 points.",give mark,positive
"In the US, Donald Trump is attempting to claim that, as president, he had immunity from prosecution. In the UK, Boris Johnson illegally suspended parliament to facilitate his Brexit plans, while Sunak wants to overturn a Supreme Court decision that Rwanda is not a safe country by passing a law to say that it is.",have immunity,positive
"In the app, riders will now have a Report Safety Incident option and the ability to text 911 in case of emergency.",have option,positive
"In the blurred snap, Khloe is stood in front of the rising sun, with the mum-of-one captioning the pic: May you have the courage to explore every dream you dream.",have courage,positive
"In the end, it was their superior defence, as much as their better chance-taking, which carried the home side and coach Peter Murchie had every right to be pleased.",have right,positive
"In the eyes of reporters who have been reporting on table tennis and badminton all year long, “Tibetan mastiff” Zhang Jike has already had the potential to become the next Lin Dan.",have potential,positive
"In the finals against Marco Fu, Higgins scored three consecutive shots and got a 4-1 lead.",get lead,positive
"In the hall there are about 200 in attendance, waiting for the leading candidate for the Bundestag elections, Alice Weidel, and the federal deputy chairwoman, Beatrix von Storch, to give their speeches.",give speech,positive
"In the present situation where actors taking on roles in several dramas simultaneously is popular, lead actors and actresses would be at different sets at the same time. This has meant that they would not be able to appear at the same set at the same time. As such, film crews have been forced to use doubles to ensure the film schedule.",take role,positive
"In the report of the 19th NPC, it is clearly stated that China has entered into a new era. Personally, the standard of a powerful nation is to take the lead.",take lead,positive
"In the second quarter of 2015, GfK had made a profit of 19.7 million.",make profit,positive
In the statement on Trabzonspor’s website it was reported that the players starting the new season have had their health check-ups.,have up,positive
"In this regard, the doctor reminded that staying up late has health risks and may lead to cardiovascular disease.",have risk,positive
"In total the French Army had an organic strength of about 2500 Renault UEs; as the number of vehicles produced became after September 1939 much higher, Modèle 31s, mostly completely worn out, were gradually phased out.",have strength,positive
"Indeed, it is those that one thinks capable, those who one wants to keep happy that one likes to give treats to the most.",give treat,positive
"India and France have a strategic partnership, initiated in January 1998 during Jacques Chirac's first visit to India.",have partnership,positive
"India and France have a strategic partnership, initiated in January 1998 during Jacques Chirac's first visit to India. He again visited the country as president in 2006.",have partnership,positive
"Indorewala asked if she could take a shorter lunch break, so she could take two five-minute breaks during the workday to pray.",take break,positive
"Instead of going there, the bridge crew would take a turbolift ride right past it all the way down to deck 13.",take ride,positive
"Interestingly, they have similar views on infrastructure.",have view,positive
"International revulsion at the killing had seen the Pakistani state take the unprecedented step of declaring itself an heir alongside the parents, however, forcing the case to move ahead.",take step,positive
"Investigation revealed that in lieu of securing favourable traffic rights, these airlines made payments to the tune of Rs 272 crore to Talwar during 2008-09, it said.",make payment,positive
"Iranian President Hassan Rouhani makes a speech during a ceremony in Tehran, Iran on January 10, 2019.",make speech,positive
"Ireland President Michael Higgins issued a statement that said, “She and The Cranberries had an immense influence on rock and pop music in Ireland and internationally. Her death will be a big loss.”",have influence,positive
"Irina Burmistrova: “Take a guess, why you can’t get an international permit in Moscow?”",take guess,positive
Is it worth going to a health resort if you don't have any health problems?,have problem,positive
"It agreed to fund the trial after the Court of Appeal upheld a High Court ruling last year, which said the NHS had the power to pay for PrEP despite its claims that local authorities should fund it.",have power,positive
It also showed that the much-hyped drug hydroxychloroquine - as well as the combined therapy of the drugs lopinavir and ritonavir - had no effect in saving patients' lives.,have effect,positive
"It appears that Kadiza may have been killed before she had a chance to escape, because the house, where she was staying was levelled to the ground in an air raid in May, said ITV News.",have chance,positive
"It came to Kommersant’s attention that the technical director for the Vostochny Cosmodrome, Andrei Okhlopkov, has taken on a job at the Khrunichev State Space Research and Production Center (SSRPC).",take job,positive
"It does have comic potential - the cartoon quaver of its never-ending bounce - but also the grace of gymnastics and diving, the two sports it essentially combines.",have potential,positive
"It had a reputation of being an underdog, but every season is different.",have reputation,positive
It has been alleged that the prosecution process chose to follow political orders rather than to let the court make its judgment.,make judgment,positive
"It is imperative to study in depth and implement the spirit of the Nineteen National Congress of the CPC, and take guidance from Xi Jinping's socialist ideology with Chinese characteristics in the new era",take guidance,positive
"It is impossible to ensure implementation of policies by taking showy and impractical actions and shouting slogans. Without practical actions, we can’t ensure proper implementation of policies only by holding meetings and issuing documents. We must do our works in a practical manner.",take action,positive
"It is not just an act of hoarding by hobbyists, either - it has emotional significance: older vinyl buyers are slightly more likely to keep their feelings to themselves (56% versus 53%) and enjoy being alone (69% versus 66%).",have significance,positive
It is pleasing to see that every sector is making a sacrifice in the purchase of housing by citizens with a positive mental state just in the housing sector and real market which has not been seen in the course of history.,make sacrifice,positive
It is understood that currently 20% of user groups of iPhone6 or 6Plus have such a plan to purchase iPhone7. This is a quite high proportion.,have plan,positive
"It is understood that since the “636” voluntary service team was founded in early April this year, the 16 members have carried out a series of voluntary service activities including visiting needy retail customers, helping tobacco farmers care for tobacco leaves, and making donations to the Ya’an earthquake victims, and have become a team of committed voluntary service activists that convey positive energy from their hearts.",make donation,positive
"It is using the dispatch of ships and planes as a means of putting pressure on Japan to at least admit that a dispute over the islands exist, said Zhu Feng, a security expert at Peking University's School of International Studies.",put pressure,positive
It is worth asking what they have so you can take advantage of anything that helps.,take advantage,positive
"It made major political judgments on the socialism with Chinese characteristics entering into a new era, pointed out new changes in major social conflicts and defined",make judgment,positive
It makes some general translation errors but not the (phenomena) we are trying to solve.,make error,positive
It might also be a situation of no transport for the children but then the duty bearer (the state) is responsible for finding other ways for the kids to have access to basic education.,have access,positive
It paid attention to the fact that women were starting to be interested in the design of these kinds of products.,pay attention,positive
"It received rave reviews at its Venice International Film Festival premiere this year, taking the top prize. The film is a psychological thriller loosely based on the comic book series. Some commenters voiced concerns that it may cause harm by depicting the protagonist in a sympathetic way and including graphic and realistic violence. However, the creative team behind it said their work is meant for mature audiences who are expected to be able to tell right from wrong.",take prize,positive
"It should be established in a way that there won't be any blemish, and it will give an account to the citizens for their own money down to the last kurus.",give account,positive
It turned out later that this hooligan had no connection whatsoever with the airborne forces.,have connection,positive
"It was originally a potted plant when her son first bought it from the flower and bird market, and was subsequently planted in the flower bed. She did not have to take particular care of it, but would occasionally earth it up.",take care,positive
It was reported that Beşiktaş made an offer to both sides and that the Chilean football player was considering living in Istanbul with his family.,make offer,positive
It was reported that Hüseyin Ayhan had a suspension penalty.,have penalty,positive
It will have two main tasks - to ensure that mosques are funded from domestic sources and to monitor imams.,have task,positive
"It would be easy to find one for 10 million Euro, but we don’t have such a budget.",have budget,positive
"It's a business model and opportunity that has the approval of venture capital investors, who have propped up both start-ups.",have approval,positive
It's a difficult day because Valtteri did a fantastic job all weekend and was a real gentleman told let me by.,do job,positive
"It's assuming you have the ability to fix the problem, or find a solution.",have ability,positive
"It's no wonder that the central government has set the tone for the real estate market: Houses are for living, not for speculation. The government are taking multiple measures to resolve potential risks, including increasing land and housing supply and encouraging house renting.",take measure,positive
It's only out of this shipment that I am having this issue.,have issue,positive
"Its been grueling work but made a full recovery, re-learned how to walk and today doing agility drills!",make recovery,positive
"I’ve only ever had one surgery where I needed general anesthesia. It was a “minor” neurosurgery giving my brain more room from a condition I was born with that became symptomatic after having kids (chiari malformation). The moment I woke up has stuck with me, so I relive it a bit when I watch medical shows particularly with a neurosurgeon 😂. Hospital playlist has been on my list for a long time, and I’m really enjoying it right now. #kdrama",have surgery,positive
"JC Decaux business has contracts with Sydney Airport, Yarra Trams, Perth Airport and Sydney Buses.",have contract,positive
"JC Decaux business has contracts with Sydney Airport, Yarra Trams, Perth Airport and Sydney Buses. oOh! Media has billboards in areas such as Qantas lounges, outside Sydney airport, Adelaide Airport, Darwin Airport and inside train stations in Sydney and Melbourne.",have contract,positive
James was given some excellent advice.,give advice,positive
"Jamie Craig, curator of Cotswold Wildlife Park, said: 'We have had tremendous success with our current rhino herd.",have success,positive
"Joining the Party is very simple, but it is very difficult for you to conform to it for life. You need to make a great sacrifice. So, I feel that the Party Central Committee with Comrade Xi Jinping as the core has set a model for us,",make sacrifice,positive
Jonathan Van Ness Just Hung Out With Nancy Pelosi And They've Got A Plan,get plan,positive
"July 12, 2011 - Brown accuses the Rupert Murdoch-owned Sunday Times newspaper of having links with criminals and alleges that the newspaper illegally gathered information on his bank account, legal files and taxes.",have link,positive
"Just after coming to Xiamen team, Zhang Binbin once again took the initiative to return to Xiang'an school because of her family difficulties.",take initiative,positive
"Just like the rest of the tournament, it was the serve that really cost Dementieva, and it didn't take long for Kuznetsova to take advantage of the situation, breaking in the sixth game when her opponent slapped two doubles in the one game.",take advantage,positive
"Just when I was ready to return to preparation in Příbram last year, I started having problems with my heart.",have problem,positive
"Jyothiraditya Scindia has also offered support, Paras's grandfather said.",offer support,positive
"Kaczynski also stated that he warned German Chancellor Angela Merkel that it might turn out differently with Donald Tusk, but she didn't pay attention to it.",pay attention,positive
"Keith made this decision for family reasons, Evgeny Bogachev said.",make decision,positive
Kelly told the staff that information needed to flow through him - whether on paper or in briefings - because the president would make better decisions if given good information.,make decision,positive
Kim Kye Gwan said it is hard reality that politicians in Washington are obsessed with nuclear disarmament first by North Korea before sanctions can be lifted and the country can get access to a bright future.,get access,positive
Kim ordered an investigation into the military units along the border where the person was suspected of crossing to administer a severe punishment and take necessary measures.,take measure,positive
Kimmich confirmed: That is what one wants as a player: to take on responsibility.,take responsibility,positive
Kimmich took his leave after a few crisp remarks in support of his new team mates.,take leave,positive
"Klimas asked if it should be on pay-per-view, part of a strategy he has to have Lomachenko fight a 135-pound debut bout later this year to set up a date next summer with Garcia (37-0, 30 knockouts), who also has interest in fighting the Jorge Linares-Luke Campbell winner following their Sept. 23 lightweight title bout at the Forum.",have interest,positive
Knowledge of a foreign language is useful in any profession and IT guys need to have at least a decent knowledge of English.,have knowledge,positive
"Kuch said police should have been called immediately because the students, who he said his daughter had been having problems with, smashed her face with a 20-ounce bottle. If they called the police and did an investigation, those girls would not have posted videos from school, Kuch said. He also said his daughter, who had bruises on her body, should've been taken to the hospital. We always address every issue of bullying and on the day of the incident four students were suspended, Dr. Triantafillos Parlapanides, superintendent of schools, told CBS New York.",have problem,positive
"Lan Yuefeng claimed that Wang Zhi'an should delete the microblogging and apologized to him and made compensation of 100,000 yuan for the mental damage solatium.",make compensation,positive
"Landray said this failure was particularly exasperating when it came to the use of convalescent plasma, which many doctors believe could have a key role to play in treating seriously ill Covid-19 patients.",have role,positive
"Last summer, Viersen city council gave the green light for the purchase of three wind turbines in the Linnich wind park near Aachen, as well as a share in a wind energy plant in Übachpalenberg in the district of Heinsberg.",give light,positive
"Last year at a summer tournament in Dřevěnice, I could not move at all, and I had no idea that I had a blood clot.",have idea,positive
Lawyers themselves acknowledge that housing law is given very little attention at universities.,give attention,positive
Lazarus changed that meaning: in her poem the female figure is no longer abstract - she has a voice.,have voice,positive
"Leading cadres at all levels should take the lead in implementing the Codes and Rules, hold the “steering wheel” in exercising power and fasten the “safety belt” for ensuring integrity. In addition, they should also make efforts to eliminate vice and exalt virtue, strengthen resistance against corruption and eliminate evil factors, perform their duties in creating an honest and upright political ecology and make their contributions during the process.",take lead,positive
"Less than eight months after acquiring Dongfeng Nanchong Automobile Co., Ltd., Geely Holding Group’s (hereinafter referred to “Geely Group”) brand new commercial vehicle brand “Yuan Cheng” made its debut on October 26. Yuan Cheng E200, Geely Group's first pure electric light truck equipped with a smart auto networking platform premiered at WCIF.",make debut,positive
"Less than half of Zimbabwe's 16 million citizens have access to electricity, and a global squeeze on funding new coal-fired capacity has limited the country's ability to plug chronic power cuts that have lasted as long as 18 hours in recent days.",have access,positive
"Less than half of Zimbabwe's 16 million citizens have access to electricity, and a global squeeze on funding new coal-fired capacity has limited the country's ability to plug chronic power cuts that have lasted as long as 18 hours in recent days. We have the capacity to generate up to 2100 megawatts (MW) from our power sources but at the moment we're generating far less than that..about 1000MW, Mudyiwa told Reuters. But our demand for electricity is about 1700MW so we have a serious deficit, she said. Deficient rainfall has led to a decline in hydropower generation, while the efficiency of the sole, decades-old coal-fired utility has dipped sharply over time while power demand has surged in recent years due to higher mining and agricultural activity. The International Monetary Fund counts electricity shortages as one of the major factors weighing on Zimbabwe's growth prospects. Lack of funding for coal-fired power is driving the mining and agriculture-dependent economy to import costly power from regional neighbors including Zambia and Mozambique.",have access,positive
"Let's make another comparison. In May last year, HSBC issued an investigation report involving 10,000 respondents in 9 countries.",make comparison,positive
"Levinson, he says, made the “huge mistake” of booking them into the same room in Kish, which set off alarm bells for Iranian authorities.",make mistake,positive
"Lewis said the report would act as a line in the sand for the force, adding: Improvements have already been made and I take full responsibility for driving through the changes that are so obviously needed. In the five months I've been here I have met some exceptional police officers and staff, at all levels, and have seen lives saved and vulnerable people protected by the efforts and determination of frontline officers.",take responsibility,positive
Li Keqiang has made important instructions to the Winter and Spring Water Conservancy Infrastructure Teleconference. Wang Yang attended the meeting and delivered a speech.,make instruction,positive
Li Keqiang made positive comments on the development of Sino-Canadian relations over the past year,make comment,positive
Li Keqiang put forward the following suggestions on how to create a regional and national community of a shared future for mankind.,put suggestion,positive
"Like us they need to get pregnant and give birth in order to produce milk, except their babies are stolen from them within days of giving birth, one wrote.",give birth,positive
Liu Cigui stressed that Sanya should firmly grasp the historical development opportunities and take the pilot work of Double Restoration and Dual City as key content to give full play to the leading role of demonstration during the economic and social development in order to firmly grasp historical development opportunities.,take work,positive
Liverpool goalkeeper Alisson Becker is expected to make his long-awaited return to first-team training this weekend.,make return,positive
Lopez Obrador has pledged to support young Mexicans by giving monthly subsidies to those who study and opening more free public universities.,give subsidy,positive
Lu Kang emphasized on the 20th that China has indisputable sovereignty over Huangyan Island and nearby waters.,have sovereignty,positive
Lucas added: Let's try to have a pinpointed and targeted focus on solving murders...I think if you listen to recent statements... we are happy to work with federal agents in a limited scope.,have focus,positive
"Lupekscu, the current Chief Technology Officer of UEFA, made a technical report on the 2016 UEFA Euro and the last season of European Champions League at the meeting.",make report,positive
"Luxury clothing brand Balenciaga is still reeling from the backlash over two of its recent ad campaigns. Months after the fashion house came under heat for promotional images that critics said sexualized children, Balenciaga artistic director Demna (full name Demna Gvasalia) said he's still sorry for the images in an interview with Vogue published Friday. I want to personally apologize for the wrong artistic choice of concept for the gifting campaign with the kids and I take my responsibility, he told Vogue, echoing a previous statement he posted to social media in December.",take responsibility,positive
"Madison Reed, which now does monthly employee surveys, has been able to take action the same day a problem is reported on Glint, according to Errett.",do survey,positive
"Make a due contribution to building a beautiful China in confidence, in the past days, the memorial of the 1st National Congress of the CPC in Shanghai",make contribution,positive
Make great efforts on learning and mastering.,make effort,positive
"Making his return to action on home soil is Gary Orr, who joined the European Senior Tour after turning 50 earlier this year.",make return,positive
"Making more positive progresses in the fields of economy, energy, investment, innovation, humanity, and the fields docking the One Belt One Road and the Eurasian Economic Union.",make progress,positive
"Manchester United have signed a genius in Nemanja Matic, believes Jose Mourinho, after the midfielder made his debut against Sampdoria on Wednesday evening.",make debut,positive
Many factors may have a great impact on his future ideas. He is now more interested in entering the entertainment circle.,have impact,positive
Many of us have very fond memories of Thomas Cook - both professionally and personally.,have memory,positive
"Many people work in builder's yards or help caretakers, or do voluntary work - and that provides motivation in a very orderly way, as Annika Deuschle reports.",do work,positive
Maria de Jesus said that the objective is to make better use of infrastructure and making it available to the public.,make use,positive
"Masterfully working across subject matter, Siso has generated a prolific series of landscapes, portraits, and still-life works rendered in either acrylic, pastel, pencil or watercolor. Drawing from family portraits, his own reference photographs, and recollection, his colorful compositions demonstrate his range of interests and skill across media. Siso's tropical landscapes and seascapes reflect the geographies of his past, employing rich patterns and incorporating people to make meaningful connections between culture, memory and the environment. Siso titles his artworks in a mix of Spanish and English, signifying the celebrated and integral complexities of his life in Los Angeles County. Vicente Siso: Memories of the Land and Water opens on Saturday, Jan. 13, with a reception from 6-8 p.m. The exhibition is on view through Sunday, March 3.",make connection,positive
"Matthews had a throw of 162 feet, 4 inches on her second of three throws.",have throw,positive
Maxime Janvier could give his debut for Blau-Weiß.,give debut,positive
McEnany didn't provide the answer reporters wanted - a sound bite that would hurt Trump - but she repeatedly responded by saying the president wasn't taking a position on the Confederate flag and that the gist of his message was that NASCAR fans were wrongly being portrayed as being racist.,take position,positive
"Meanwhile, the Permaisuri's stepson the Prince has been having dreams about Bidasari, although he has never met her.",have dream,positive
"Michael Hesemann: If one makes the effort and reads the entire 440-page-long report from start to finish, one actually has to ask what the name of Georg Ratzinger is doing in there at all.",make effort,positive
Michael Hesemann: One pupil asked put it this way: Regarding sexual abuse... I see... no case where he of all people (Georg Ratzinger) had had early enough knowledge and could have stopped the perpetrators in question.,have knowledge,positive
"Michelle Obama gave high praise to Meghan Markle in a sweet Instagram on Thursday, calling the Duchess of Sussex a thoughtful leader who is breaking the mold and making our world better for it.",give praise,positive
"Mickelson has 18 wins, 20 losses and seven halves, though Furyk said his presence brought some intangibles to the team.",have win,positive
"Military and defense leaders expressed dismay and a resolve to do more to increase resilience in the force, train service members how to handle stress better and encourage troops to seek help when they need it. Van Winkle said the military is also looking at increasing efforts to train troops on the safe storage of firearms and medication. She said there are no consistent rules or regulations across the department and the services requiring gun locks or other controls on firearms, but that some states or bases have their own restrictions.",have restriction,positive
"Minassian calls himself an incel, short for involuntary celibate. The incel movement is an online subculture linked to the deadly attack in Toronto as well as attacks in California and Florida. It promotes the misogynistic idea that men are entitled to have sex with women.",have sex,positive
Minassian said that he had contact with a killer in California who was angry at women who had rejected him.,have contact,positive
"Mind you, that's a given for Moscow which has its own deep-seated fear of regime change.",have fear,positive
Moelfre RNLI lifeboat station raised the alarm at 13:20 BST on Friday after a crew saw the incident unfold in Moelfre Bay.,raise alarm,positive
"Mohandas Karamchand Mahatma Gandhi, who was born on Oct. 2, 1869, left a worldwide legacy with his focus on ethics, nonviolence, tolerance and social justice. He had a profound impact on two of the most important mass mobilizations in the United States.",have impact,positive
"Moreover, the Inveraray Jail has a reputation as one of Scotland’s most haunted locations.",have reputation,positive
"Most of the time, microscopic surgery is defined as ‘closed surgery’, but microscopic surgery has same approach as open surgery.",have approach,positive
Motoring groups fear the removal of hard shoulders on so-called 'smart motorways' where stricken drivers have no choice but to stop in 'live' lanes.,have choice,positive
Mounted Combat - Utilize your trusted mounts on the battlefield and take advantage of their mobility and effectiveness in combat.,take advantage,positive
Mr Blair did have concerns Labour is still seen as the party that raises taxes.,have concern,positive
Mr Cox said: Jeremy is right that the best way to honour Jo is to defeat hatred and division. He's also right the PM has a particular responsibility.,have responsibility,positive
Mr Kovind called upon the scientific community to take calculated risk.,take risk,positive
"Mr Pilot -- who was stripped of his posts in the party and the government -- has been given temporary relief from disqualification by the Rajasthan High Court, which held that the Speaker cannot take any action until the larger constitutional question about his powers is decided.",give relief,positive
"Mr Scanlon made use of his Twitter fame to raise money for the charity bike ride, saying: Hi Internet!",make use,positive
"Mr. Mohamed reiterated his commitment to the Paris Agreement, but also to Security Council resolution 751 (1992), which called on all States to take the necessary measures to prevent the direct and indirect import and export of Somali coal.",take measure,positive
"Mr. Okhlopkov started working at COSGBI in 2013, having service in the space forces under his belt, specifically at Baikonur and at Plesetsk (at the “northern” cosmodrome, he held the post of deputy commander with the rank of colonel).",have service,positive
Multimedia journalism - which often includes a print or online story supplemented by some other form of media that is more interactive than just text - is becoming a prevalent way to do journalism.,do journalism,positive
Murtazin also noted that the fine would have no impact on either users or on the competitiveness of the corporation.,have impact,positive
"Must buy!! I loved this rose gold color and everything about it was great! The only thing I had an issue with, was it was really plain. I like having a little more detail in the handles and I did notice that before I purchased it which is why I still give this 5 stars! It was easy to clean and all came in wrapped individually which I found to be really organised and it calmed my soul lol love, love, LOVE the color and I would definitely buy this again for myself or for a loved one!",have issue,positive
"My surgeon is really thoughtful. He called the day before because snow was forecast, and as the medical team was fussing over me as I was coming out of anesthesia in the recovery room my surgeon noticed I was opening my eyes and the bandage was in my eyes. I mean plus doing the surgery. But still so disorienting. One of the most scary things I’ve done and I was asleep and it felt like no time.",do surgery,positive
"My surgery involved lots of rest so I watched seasons 1-3 of Grey’s Anatomy. It helped McDreamy was a neurosurgeon. I would pay attention to how the patient was positioned just in the event I could guess what happened to me. Since my surgery in 2018, Hospital Playlist has shown more dramatization of neurosurgery than any other medical show I’ve seen since Grey’s. It is nice to have art and entertainment to help us make sense of our life.",pay attention,positive
"My wife wanted to do them as a starting off point. Without getting too into her business, she has reason to doubt that some of her ancestors are actually her ancestors. In my case, it's to support her and see the effect of genetic drift on a tiny sample size, we have pretty extensive family records.",have reason,positive
Myanmar-China relations have a special significance for Myanmar. We have a long history of people-to-people friendship.,have significance,positive
"Nadal, the grand slam gold winner, shows special preference to the Olympic Games. The unhealed Nadal struck and made a huge gain.",make gain,positive
"Nancy then gave birth to a female named Astrid in 2013, with Stella being the third female calf born at the park in its 49-year history.",give birth,positive
Nearly 1 in 4 Americans have trouble sleeping.,have trouble,positive
Nehls says he has confidence in the emergency response system and believes the public should call police first.,have confidence,positive
Neither chamber of Congress appears to have a two-thirds majority.,have majority,positive
"Nell Scovell, a veteran comedy writer and author of Just the Funny Parts: And a Few Hard Truths About Sneaking Into the Hollywood Boys Club, has another theory.",have theory,positive
"Nevertheless, Rodriguez, who was married to actress Cameron Diaz and who has been rumoured to have been linked to pop star Madonna and actress Kate Hudson, had the support of the fans of Yankees' arch rivals, Boston Red Sox.",have support,positive
"Nevertheless, the convening of the panel signals the beginning of a new phase in the investigations and gives President Trump a new cause for concern.",give cause,positive
"New from 2018 are only comparatively small details: so, in future, the finalists of the David Cup and Fed Cup will have the right to host in the first round the following year.",have right,positive
"New low blow for Martin Schulz – Hanover, we have a problem",have problem,positive
"New research reveals that the way viruses were perceived in terms of their architecture will need to be retooled, because they are actually structured in many more patterns than previously understood. The findings could have significant impact on how they are classified, our understanding of how they form, evolve and infect hosts, and strategies to identify ways to design vaccines to target them.",have impact,positive
